anio,territorio,valor,traslado,embarazadas-empleo-informal,sobrecarga-embarazadas,apoyo-embarazadas,frecuencia-transporte,apoyo-infantil,nacimientos
2016,Santa Ana,30.9,0.6274,0.9,0.6262,NA,0,NA,27
2016,Santa Elena,29.3,0.2998,0.6845,0.3095,NA,0.0692,NA,55
2016,Santa Lucía,113,0.842,0.6959,0.4999,NA,0.3565,NA,42
2016,Santa Rosa,26.8,0.3354,0.5831,0.4612,NA,0,NA,65
2016,Villa Esperanza,60.5,0.6232,0.6904,0.7502,NA,0,NA,30
2016,Villa Norte,15.9,0.3559,0.6032,0.4378,NA,0.003,NA,79
2016,Villa Sur,32,0.4887,0.7827,0.627,NA,0,NA,48
2016,Vista Hermosa,53.1,0.5801,0.8408,0.6942,NA,0,NA,43
2017,Altos del Sol,20,0.3189,0.5446,0.6047,NA,0.1194,NA,62
2017,Bosques del Valle,16.9,0.4131,0.71,0.3472,NA,0.3695,NA,71
2017,Colinas del Valle,33.9,0.7028,0.6502,0.8984,NA,0.0898,NA,32
2017,El Carmen,31,0.6101,0.6679,0.5159,NA,0.1317,NA,75
2017,El Edén,40.9,0.427,0.5752,0.4719,NA,0.3425,NA,50
2017,El Mirador,60,0.5158,0.6814,0.7918,NA,0,NA,31
2017,El Porvenir,38.6,0.7135,0.8535,0.7222,NA,0.0196,NA,26
2017,La Alameda,31.1,0.6073,0.7957,0.5233,NA,0.2924,NA,29
2017,La Arboleda,8.9,0.4057,0.3838,0.4687,NA,0,NA,61
2017,La Cañada,52.9,0.5922,0.8948,0.4774,NA,0.1473,NA,37
2017,La Esperanza,8.6,0.0829,0.3881,0.121,NA,0.1429,NA,103
2017,La Primavera,44.7,0.4926,0.5974,0.3797,NA,0.0681,NA,79
2017,La Rivera,9.1,0.024,0.3587,0.1619,NA,0.0573,NA,127
2017,Las Brisas,44.8,0.7748,0.7155,0.5541,NA,0.1606,NA,34
2017,Las Palmas,33.1,0.4064,0.5494,0.436,NA,0.1086,NA,77
2017,Los Arrayanes,111.5,0.5431,0.7122,0.5634,NA,0.3186,NA,25
2017,Los Pinos,98,0.6836,0.6782,0.4232,NA,0,NA,40
2017,Los Álamos,14.2,0.7745,0.7594,0.4209,NA,0.0488,NA,29
2017,Nueva Esperanza,28.9,0.5973,0.8108,0.3451,NA,0.2381,NA,60
2017,Nueva Vida,36.9,0.4974,0.4837,0.3695,NA,0.2396,NA,60
2017,Plaza del Valle,139.2,0.4794,0.8335,0.492,NA,0.0155,NA,44
2017,San Isidro,45.2,0.7491,0.7043,0.6902,NA,0.0702,NA,39
2017,San Joaquín,17,0.2761,0.5581,0.3467,NA,0,NA,51
2017,San Rafael,18.5,0.052,0.4183,0.1476,NA,0.3314,NA,127
2017,Santa Ana,34.9,0.7686,0.8321,0.5561,NA,0,NA,27
2017,Santa Elena,17.7,0.382,0.6616,0.4535,NA,0.4126,NA,55
2017,Santa Lucía,55.3,0.8638,0.6965,0.574,NA,0.3141,NA,42
2017,Santa Rosa,31.7,0.3701,0.7429,0.7489,NA,0.0076,NA,65
2017,Villa Esperanza,66.4,0.8058,0.7108,0.6324,NA,0,NA,30
2017,Villa Norte,31.2,0.351,0.615,0.4339,NA,0.0016,NA,79
2017,Villa Sur,48.5,0.3915,0.6884,0.6992,NA,0,NA,48
2017,Vista Hermosa,42.3,0.7578,0.7793,0.716,NA,0.3664,NA,43
2018,Altos del Sol,12.7,0.3117,0.4571,0.6292,NA,0.0232,NA,62
2018,Bosques del Valle,23.8,0.3691,0.6861,0.3293,NA,0.4894,NA,71
2018,Colinas del Valle,18.6,0.7099,0.7141,0.8153,NA,0.3899,NA,32
2018,El Carmen,13.7,0.645,0.6337,0.4782,NA,0.1878,NA,75
2018,El Edén,29,0.4042,0.7338,0.4544,NA,0.3538,NA,50
2018,El Mirador,92.3,0.7812,0.816,0.6516,NA,0.1408,NA,31
2018,El Porvenir,65.1,0.5582,0.9,0.8649,NA,0.1387,NA,26
2018,La Alameda,28.8,0.4829,0.7708,0.4554,NA,0.4714,NA,29
2018,La Arboleda,21.2,0.3355,0.5081,0.4039,NA,0.4869,NA,61
2018,La Cañada,33.6,0.7548,0.9,0.5989,NA,0.3993,NA,37
2018,La Esperanza,10.6,0.0733,0.3861,0.1297,NA,0.0839,NA,103
2018,La Primavera,42.5,0.4913,0.656,0.4288,NA,0.0142,NA,79
2018,La Rivera,7.9,0.02,0.3623,0.17,NA,0.003,NA,127
2018,Las Brisas,40.7,0.6559,0.8126,0.4719,NA,0.08,NA,34
2018,Las Palmas,58.8,0.2877,0.655,0.4385,NA,0.2121,NA,77
2018,Los Arrayanes,29.1,0.828,0.7165,0.389,NA,0.394,NA,25
2018,Los Pinos,119.2,0.5693,0.7208,0.6019,NA,0.0512,NA,40
2018,Los Álamos,36.7,0.6194,0.8415,0.3513,NA,0.1391,NA,29
2018,Nueva Esperanza,44.1,0.5828,0.8237,0.3195,NA,0.253,NA,60
2018,Nueva Vida,39.9,0.3305,0.4941,0.3558,NA,0.3373,NA,60
2018,Plaza del Valle,117.7,0.4478,0.8745,0.7359,NA,0.0918,NA,44
2018,San Isidro,45.2,0.7028,0.7356,0.5207,NA,0.0244,NA,39
2018,San Joaquín,23.2,0.3769,0.603,0.373,NA,0.139,NA,51
2018,San Rafael,14,0.0243,0.4919,0.1829,NA,0.2541,NA,127
2018,Santa Ana,34.6,0.9,0.8224,0.5752,NA,0.1458,NA,27
2018,Santa Elena,23.3,0.4391,0.7345,0.3456,NA,0.3042,NA,55
2018,Santa Lucía,127.9,0.7189,0.7303,0.5114,NA,0.3304,NA,42
2018,Santa Rosa,14.5,0.2486,0.6708,0.4939,NA,0.0062,NA,65
2018,Villa Esperanza,40.9,0.7253,0.7964,0.5588,NA,0.1286,NA,30
2018,Villa Norte,30.3,0.3295,0.6554,0.4272,NA,0.2846,NA,79
2018,Villa Sur,63.6,0.4402,0.8293,0.7245,NA,0,NA,48
2018,Vista Hermosa,72.6,0.6594,0.8861,0.6623,NA,0.3143,NA,43
2019,Altos del Sol,19.4,0.417,0.5551,0.6785,0.153,0.1576,NA,62
2019,Bosques del Valle,34.2,0.4651,0.6979,0.1999,0.1123,0.2837,NA,71
2019,Colinas del Valle,38.2,0.5819,0.798,0.8738,0.2846,0.3189,NA,32
2019,El Carmen,14.5,0.5266,0.6961,0.577,0.3628,0.2888,NA,75
2019,El Edén,44.7,0.5248,0.5531,0.4208,0.0696,0.4713,NA,50
2019,El Mirador,33.7,0.5353,0.6722,0.7284,0.01,0.0811,NA,31
2019,El Porvenir,31,0.5055,0.8065,0.7082,0.1439,0.1082,NA,26
2019,La Alameda,39.2,0.7275,0.7831,0.5932,0.1052,0.594,NA,29
2019,La Arboleda,27.2,0.3372,0.5449,0.3253,0.2954,0.247,NA,61
2019,La Cañada,47.5,0.5865,0.9,0.6366,0.0542,0,NA,37
2019,La Esperanza,8.1,0.0942,0.3721,0.1378,0.3167,0.1118,NA,103
2019,La Primavera,40.7,0.3921,0.6176,0.3762,0.1728,0.1099,NA,79
2019,La Rivera,7.7,0.0659,0.3701,0.1434,0.2898,0.1564,NA,127
2019,Las Brisas,68.4,0.5771,0.6769,0.5159,0.0555,0,NA,34
2019,Las Palmas,39.8,0.3491,0.7977,0.455,0.3201,0.0753,NA,77
2019,Los Arrayanes,55.2,0.6748,0.6726,0.4203,0.1381,0.3025,NA,25
2019,Los Pinos,85.2,0.5913,0.645,0.4876,0.0915,0.3609,NA,40
2019,Los Álamos,62.3,0.75,0.827,0.5833,0.01,0.0025,NA,29
2019,Nueva Esperanza,34.6,0.5076,0.8236,0.3047,0.0538,0.2877,NA,60
2019,Nueva Vida,32.9,0.155,0.5196,0.3855,0.0767,0.3987,NA,60
2019,Plaza del Valle,46.1,0.4135,0.7714,0.5881,0.1387,0.2237,NA,44
2019,San Isidro,28.8,0.5987,0.7759,0.634,0.187,0.1898,NA,39
2019,San Joaquín,42.3,0.3765,0.6041,0.371,0.1195,0.1806,NA,51
2019,San Rafael,10.5,0.0257,0.4478,0.2049,0.2924,0.1621,NA,127
2019,Santa Ana,15.6,0.604,0.8252,0.7092,0.2677,0.5308,NA,27
2019,Santa Elena,15.8,0.3392,0.753,0.439,0.0798,0.5291,NA,55
2019,Santa Lucía,78.9,0.7488,0.6446,0.4923,0.3008,0,NA,42
2019,Santa Rosa,9.7,0.2279,0.6595,0.5682,0.2076,0,NA,65
2019,Villa Esperanza,46.6,0.7588,0.809,0.5636,0.235,0.3786,NA,30
2019,Villa Norte,39.3,0.2889,0.7323,0.3312,0.01,0.1123,NA,79
2019,Villa Sur,48.1,0.4884,0.8031,0.6738,0.0894,0,NA,48
2019,Vista Hermosa,197.8,0.5931,0.8933,0.6271,0.0244,0.2893,NA,43
2020,Altos del Sol,20.8,0.6557,0.6504,0.7489,0.01,0.0909,NA,62
2020,Bosques del Valle,64.2,0.5352,0.7825,0.1665,0.0255,0.304,NA,71
2020,Colinas del Valle,131.4,0.6896,0.8063,0.8161,0.2322,0.4486,NA,32
2020,El Carmen,25.3,0.5867,0.7771,0.5211,0.3761,0.0895,NA,75
2020,El Edén,46.3,0.4939,0.6885,0.4759,0.0192,0.4044,NA,50
2020,El Mirador,61.9,0.5344,0.8255,0.6637,0.01,0,NA,31
2020,El Porvenir,38,0.7225,0.8856,0.8391,0.2274,0.2695,NA,26
2020,La Alameda,20.8,0.9,0.8687,0.7888,0.1886,0.6393,NA,29
2020,La Arboleda,16.3,0.4185,0.4893,0.583,0.1747,0.4437,NA,61
2020,La Cañada,42,0.5745,0.8788,0.7943,0.0196,0.1883,NA,37
2020,La Esperanza,10.4,0.1035,0.4052,0.15310000000000001,0.2046,0.1525,NA,103
2020,La Primavera,48.6,0.4324,0.67,0.3707,0.0868,0.2448,NA,79
2020,La Rivera,13.4,0.0528,0.4291,0.1949,0.2302,0.0516,NA,127
2020,Las Brisas,31.3,0.7737,0.7067,0.5274,0.0962,0.2173,NA,34
2020,Las Palmas,34.1,0.3943,0.8068,0.4747,0.4041,0.3238,NA,77
2020,Los Arrayanes,136.6,0.7853,0.684,0.5433,0.1951,0.1817,NA,25
2020,Los Pinos,336.9,0.702,0.7194,0.5197,0.1661,0.1957,NA,40
2020,Los Álamos,63,0.716,0.7656,0.5531,0.01,0,NA,29
2020,Nueva Esperanza,57.3,0.6119,0.7825,0.7173,0.0681,0.1965,NA,60
2020,Nueva Vida,47.4,0.2972,0.5217,0.3984,0.1416,0.4023,NA,60
2020,Plaza del Valle,28.9,0.5592,0.8428,0.8536,0.04,0.6523,NA,44
2020,San Isidro,45,0.634,0.8804,0.7265,0.0326,0.1873,NA,39
2020,San Joaquín,59.1,0.4304,0.7465,0.3399,0.01,0.1799,NA,51
2020,San Rafael,12.5,0.0507,0.493,0.1996,0.1703,0.1258,NA,127
2020,Santa Ana,80.2,0.5971,0.9,0.723,0.2001,0.2597,NA,27
2020,Santa Elena,35.6,0.4046,0.7861,0.4819,0.1878,0.4529,NA,55
2020,Santa Lucía,92.9,0.683,0.6227,0.4187,0.0667,0.3581,NA,42
2020,Santa Rosa,30.6,0.2815,0.881,0.5152,0.2327,0,NA,65
2020,Villa Esperanza,138.3,0.8391,0.7415,0.6154,0.1001,0.4642,NA,30
2020,Villa Norte,39.9,0.375,0.7003,0.3353,0.01,0.2145,NA,79
2020,Villa Sur,106.3,0.6626,0.9,0.5745,0.0822,0.267,NA,48
2020,Vista Hermosa,517.1,0.7601,0.8728,0.7439,0.01,0.4554,NA,43
2021,Altos del Sol,20.5,0.5418,0.6405,0.5775,0.079,0.2225,NA,62
2021,Bosques del Valle,46.9,0.3305,0.6705,0.2292,0.0421,0,NA,71
2021,Colinas del Valle,32.3,0.7703,0.8383,0.6741,0.1599,0.2682,NA,32
2021,El Carmen,45,0.4748,0.6289,0.6142,0.2649,0.2056,NA,75
2021,El Edén,27.3,0.5252,0.5756,0.4692,0.2255,0.4497,NA,50
2021,El Mirador,104.8,0.6036,0.848,0.6176,0.01,0,NA,31
2021,El Porvenir,75.2,0.6468,0.9,0.775,0.01,0.2253,NA,26
2021,La Alameda,45.3,0.7839,0.8341,0.7627,0.0586,0.099,NA,29
2021,La Arboleda,29.9,0.44,0.5813,0.4363,0.1127,0.063,NA,61
2021,La Cañada,91.3,0.762,0.829,0.9,0.01,0.4702,NA,37
2021,La Esperanza,11,0.0803,0.3491,0.1436,0.3473,0.1436,NA,103
2021,La Primavera,47.9,0.5121,0.6279,0.4284,0.1976,0.437,NA,79
2021,La Rivera,10.8,0.042,0.4545,0.1518,0.2845,0.1915,NA,127
2021,Las Brisas,32.7,0.7695,0.7597,0.4583,0.0437,0.3317,NA,34
2021,Las Palmas,83.9,0.317,0.6655,0.3915,0.3334,0.1451,NA,77
2021,Los Arrayanes,49.9,0.7586,0.6075,0.6267,0.0749,0.1033,NA,25
2021,Los Pinos,101.7,0.6734,0.7394,0.5107,0.1214,0.4902,NA,40
2021,Los Álamos,64,0.7192,0.699,0.6453,0.01,0.0196,NA,29
2021,Nueva Esperanza,67.3,0.5222,0.83,0.562,0.0792,0.3875,NA,60
2021,Nueva Vida,27.2,0.3997,0.5842,0.3964,0.4628,0.3028,NA,60
2021,Plaza del Valle,66.4,0.531,0.8691,0.8745,0.1414,0.6444,NA,44
2021,San Isidro,21.7,0.6228,0.9,0.7672,0.0239,0.2933,NA,39
2021,San Joaquín,34.6,0.5297,0.6994,0.4598,0.0911,0.1449,NA,51
2021,San Rafael,13,0.0561,0.4422,0.1253,0.2208,0.3202,NA,127
2021,Santa Ana,64.2,0.6928,0.9,0.6295,0.01,0.1074,NA,27
2021,Santa Elena,23.4,0.4081,0.7328,0.5208,0.01,0.2438,NA,55
2021,Santa Lucía,87.7,0.7389,0.7694,0.5115,0.1996,0.4841,NA,42
2021,Santa Rosa,20.6,0.3181,0.8117,0.5648,0.1346,0.1407,NA,65
2021,Villa Esperanza,111.9,0.5384,0.732,0.8734,0.01,0.4218,NA,30
2021,Villa Norte,25,0.617,0.7178,0.3443,0.01,0.3987,NA,79
2021,Villa Sur,41.7,0.6852,0.7644,0.4933,0.2266,0.3059,NA,48
2021,Vista Hermosa,394.7,0.8205,0.8096,0.4889,0.2051,0.595,NA,43
2022,Altos del Sol,13.1,0.3826,0.5606,0.6258,0.1676,0.079,NA,62
2022,Bosques del Valle,36.1,0.4243,0.5973,0.2789,0.2099,0.3002,NA,71
2022,Colinas del Valle,55.6,0.5461,0.8445,0.8276,0.1703,0.2986,NA,32
2022,El Carmen,53.8,0.5076,0.6528,0.4687,0.239,0.0968,NA,75
2022,El Edén,30.9,0.5294,0.5482,0.4619,0.1798,0.5682,NA,50
2022,El Mirador,44.7,0.5721,0.8729,0.4951,0.01,0,NA,31
2022,El Porvenir,57,0.6362,0.8952,0.7254,0.0793,0.5011,NA,26
2022,La Alameda,40.7,0.7637,0.8729,0.9,0.2338,0.3718,NA,29
2022,La Arboleda,22.1,0.4359,0.5108,0.4525,0.0638,0.2043,NA,61
2022,La Cañada,36.2,0.5766,0.7743,0.7473,0.01,0.2806,NA,37
2022,La Esperanza,10.5,0.0255,0.3497,0.1046,0.4033,0.3085,NA,103
2022,La Primavera,62.7,0.4642,0.6031,0.543,0.0713,0.4354,NA,79
2022,La Rivera,12.7,0.0585,0.423,0.1463,0.3848,0.419,NA,127
2022,Las Brisas,50.2,0.7525,0.7295,0.6134,0.126,0.4844,NA,34
2022,Las Palmas,36.7,0.3868,0.5795,0.312,0.2547,0.5142,NA,77
2022,Los Arrayanes,61.9,0.7231,0.8022,0.7144,0.01,0.3066,NA,25
2022,Los Pinos,52.5,0.6419,0.6761,0.4046,0.2881,0.6635,NA,40
2022,Los Álamos,49.1,0.7764,0.8174,0.5326,0.0157,0.2683,NA,29
2022,Nueva Esperanza,67.4,0.5786,0.7798,0.5386,0.2763,0.4302,NA,60
2022,Nueva Vida,32.2,0.2094,0.5182,0.3439,0.2861,0.2451,NA,60
2022,Plaza del Valle,50.4,0.61240000000000006,0.6301,0.7603,0.3583,0.3986,NA,44
2022,San Isidro,28.7,0.5821,0.8482,0.5465,0.1684,0.5794,NA,39
2022,San Joaquín,17.8,0.5419,0.6165,0.457,0.3151,0.2167,NA,51
2022,San Rafael,12.7,0.0284,0.4798,0.2435,0.3328,0.455,NA,127
2022,Santa Ana,70,0.7327,0.9,0.5017,0.1368,0.1259,NA,27
2022,Santa Elena,18.1,0.2942,0.6806,0.3875,0.0379,0.4072,NA,55
2022,Santa Lucía,133.8,0.6465,0.6528,0.5659,0.1122,0.5015,NA,42
2022,Santa Rosa,21.5,0.3165,0.8147,0.4389,0.1724,0.4185,NA,65
2022,Villa Esperanza,116.2,0.5908,0.8027,0.5575,0.1714,0.6392,NA,30
2022,Villa Norte,27.4,0.4822,0.6565,0.2598,0.3307,0.3051,NA,79
2022,Villa Sur,29.6,0.5287,0.7886,0.7153,0.2342,0.2509,NA,48
2022,Vista Hermosa,311.7,0.6925,0.773,0.448,0.192,0.3415,NA,43
2023,Altos del Sol,26.8,0.3248,0.624,0.7256,0.3328,0.4205,NA,62
2023,Bosques del Valle,20.6,0.4723,0.6229,0.3615,0.2728,0.4134,NA,71
2023,Colinas del Valle,55.6,0.5578,0.8146,0.683,0.1834,0.2469,NA,32
2023,El Carmen,23.9,0.5006,0.6364,0.5044,0.1593,0.2979,NA,75
2023,El Edén,25.3,0.6528,0.4817,0.4311,0.315,0.5392,NA,50
2023,El Mirador,52.3,0.5263,0.8774,0.6794,0.0702,0.2564,NA,31
2023,El Porvenir,29.5,0.7031,0.8635,0.8154,0.1089,0.2399,NA,26
2023,La Alameda,25.9,0.4919,0.8491,0.8452,0.441,0.435,NA,29
2023,La Arboleda,20.5,0.4562,0.4836,0.3401,0.3862,0.1522,NA,61
2023,La Cañada,62.5,0.5282,0.7926,0.5811,0.2377,0.9,NA,37
2023,La Esperanza,8.1,0.0288,0.3137,0.1698,0.4433,0.2607,NA,103
2023,La Primavera,77.9,0.3638,0.5355,0.4718,0.2778,0.3568,NA,79
2023,La Rivera,11.2,0.0263,0.4275,0.1762,0.3076,0.6977,NA,127
2023,Las Brisas,37.7,0.6036,0.8784,0.7045,0.2846,0.2937,NA,34
2023,Las Palmas,13.2,0.3752,0.5343,0.3671,0.4374,0.5372,NA,77
2023,Los Arrayanes,125.5,0.6717,0.7225,0.5702,0.155,0.355,NA,25
2023,Los Pinos,69.6,0.6484,0.507,0.4534,0.2476,0.3633,NA,40
2023,Los Álamos,44.2,0.7837,0.8102,0.5966,0.0898,0.1906,NA,29
2023,Nueva Esperanza,43.9,0.574,0.7431,0.3859,0.5745,0.184,NA,60
2023,Nueva Vida,27.6,0.2393,0.4877,0.4951,0.2599,0.4963,NA,60
2023,Plaza del Valle,67.9,0.361,0.8725,0.7195,0.2074,0.574,NA,44
2023,San Isidro,24.6,0.462,0.8823,0.5186,0.3919,0.2912,NA,39
2023,San Joaquín,25.2,0.3781,0.5228,0.1777,0.3968,0.25,NA,51
2023,San Rafael,11.7,0.1308,0.4397,0.1048,0.4394,0.4567,NA,127
2023,Santa Ana,51.4,0.7949,0.7886,0.5963,0.4086,0.2547,NA,27
2023,Santa Elena,12.7,0.3396,0.7174,0.444,0.1667,0.737,NA,55
2023,Santa Lucía,68.4,0.6703,0.7232,0.5038,0.2459,0.3104,NA,42
2023,Santa Rosa,15.8,0.2269,0.6791,0.4257,0.1746,0.4649,NA,65
2023,Villa Esperanza,168.7,0.6711,0.7127,0.6298,0.1154,0.514,NA,30
2023,Villa Norte,12.9,0.3429,0.613,0.2618,0.5403,0.2767,NA,79
2023,Villa Sur,77.6,0.6695,0.8061,0.5917,0.2681,0.4324,NA,48
2023,Vista Hermosa,133.1,0.5471,0.8302,0.596,0.0858,0.2348,NA,43
2024,Altos del Sol,20,0.2373,0.5997,0.6423,0.4688,0.4662,NA,62
2024,Bosques del Valle,18.1,0.3683,0.7112,0.4454,0.4367,0.5055,NA,71
2024,Colinas del Valle,30.1,0.5679,0.7607,0.6688,0.0805,0.5302,NA,32
2024,El Carmen,14.1,0.5946,0.669,0.5544,0.3352,0.4379,NA,75
2024,El Edén,21.7,0.5685,0.6797,0.4244,0.1663,0.4662,NA,50
2024,El Mirador,57.2,0.501,0.8151,0.8309,0.3598,0.4119,NA,31
2024,El Porvenir,41.6,0.8305,0.8123,0.8274,0.2602,0.5115,NA,26
2024,La Alameda,105.6,0.7105,0.783,0.8456,0.2098,0.4269,NA,29
2024,La Arboleda,16.1,0.3091,0.4197,0.1703,0.3106,0.1901,NA,61
2024,La Cañada,41.1,0.4733,0.7723,0.608,0.3869,0.54,NA,37
2024,La Esperanza,6.7,0.0305,0.3365,0.1189,0.4181,0.4902,NA,103
2024,La Primavera,41.4,0.4615,0.4539,0.3986,0.2617,0.4541,NA,79
2024,La Rivera,10.8,0.0228,0.3885,0.1638,0.3797,0.4754,NA,127
2024,Las Brisas,40.5,0.6807,0.8707,0.6561,0.3294,0.467,NA,34
2024,Las Palmas,18.6,0.52,0.6557,0.4843,0.3196,0.651,NA,77
2024,Los Arrayanes,45,0.7011,0.7855,0.75,0.1721,0.7461,NA,25
2024,Los Pinos,37.4,0.5797,0.6011,0.4352,0.3994,0.6324,NA,40
2024,Los Álamos,30.6,0.6259,0.7305,0.6842,0.1281,0.4918,NA,29
2024,Nueva Esperanza,61.9,0.4919,0.7354,0.5232,0.3964,0.3101,NA,60
2024,Nueva Vida,28.3,0.2538,0.4087,0.3725,0.3338,0.2971,NA,60
2024,Plaza del Valle,88.3,0.3086,0.8342,0.7469,0.3667,0.8014,NA,44
2024,San Isidro,35.9,0.6969,0.8459,0.6722,0.1077,0.6307,NA,39
2024,San Joaquín,21.7,0.3293,0.5722,0.238,0.3214,0.4807,NA,51
2024,San Rafael,8.3,0.0225,0.4152,0.1238,0.399,0.4418,NA,127
2024,Santa Ana,114.6,0.8425,0.7916,0.7241,0.0976,0.6622,NA,27
2024,Santa Elena,16.7,0.2795,0.7038,0.5468,0.2153,0.7986,NA,55
2024,Santa Lucía,48.6,0.6448,0.8053,0.5526,0.3142,0.723,NA,42
2024,Santa Rosa,19.4,0.346,0.7874,0.5016,0.2969,0.2028,NA,65
2024,Villa Esperanza,84.6,0.4914,0.5577,0.5594,0.086,0.376,NA,30
2024,Villa Norte,19.7,0.4085,0.7995,0.30620000000000003,0.2898,0.3967,NA,79
2024,Villa Sur,21.7,0.6012,0.7685,0.5601,0.2992,0.5693,NA,48
2024,Vista Hermosa,145.6,0.6138,0.784,0.5243,0.0331,0.5414,NA,43
2025,Altos del Sol,11.8,0.3376,0.6306,0.7356,0.2081,0.7529,NA,62
2025,Bosques del Valle,16.4,0.5088,0.7952,0.3582,0.1261,0.254,NA,71
2025,Colinas del Valle,18.8,0.6077,0.8886,0.5773,0.2244,0.4953,NA,32
2025,El Carmen,22.1,0.4484,0.667,0.4737,0.2596,0.4901,NA,75
2025,El Edén,15.6,0.5296,0.5946,0.5219,0.252,0.4877,NA,50
2025,El Mirador,73.8,0.6726,0.7326,0.6333,0.3183,0.3781,NA,31
2025,El Porvenir,66.8,0.7089,0.9,0.8387,0.0343,0.5966,NA,26
2025,La Alameda,43.7,0.5976,0.7721,0.8097,0.1608,0.5051,NA,29
2025,La Arboleda,13.6,0.4245,0.5297,0.2426,0.2608,0.6887,NA,61
2025,La Cañada,47.2,0.4046,0.8016,0.9,0.1421,0.548,NA,37
2025,La Esperanza,8.3,0.0586,0.3625,0.1027,0.3938,0.5087,NA,103
2025,La Primavera,17.4,0.417,0.4579,0.6367,0.4795,0.6686,NA,79
2025,La Rivera,8.6,0.02,0.3894,0.1412,0.3542,0.5231,NA,127
2025,Las Brisas,39.9,0.8303,0.9,0.6703,0.2825,0.5115,NA,34
2025,Las Palmas,20.2,0.3976,0.6637,0.5073,0.2199,0.703,NA,77
2025,Los Arrayanes,32.4,0.3667,0.9,0.6989,0.3163,0.6774,NA,25
2025,Los Pinos,60.6,0.5804,0.7084,0.592,0.2133,0.8455,NA,40
2025,Los Álamos,23.3,0.5361,0.8285,0.6806,0.1264,0.5486,NA,29
2025,Nueva Esperanza,35.2,0.3499,0.7531,0.5791,0.4778,0.4882,NA,60
2025,Nueva Vida,29.7,0.2644,0.436,0.2969,0.3634,0.3866,NA,60
2025,Plaza del Valle,39.5,0.367,0.8839,0.509,0.248,0.8824,NA,44
2025,San Isidro,44.4,0.7723,0.7384,0.7772,0.2793,0.4175,NA,39
2025,San Joaquín,22,0.2358,0.625,0.4901,0.373,0.399,NA,51
2025,San Rafael,9.2,0.02,0.5132,0.1135,0.4461,0.5724,NA,127
2025,Santa Ana,29.3,0.6978,0.8958,0.6561,0.3744,0.8828,NA,27
2025,Santa Elena,14.1,0.2804,0.6626,0.5328,0.3382,0.7796,NA,55
2025,Santa Lucía,97.5,0.7751,0.7088,0.6682,0.3579,0.7083,NA,42
2025,Santa Rosa,15.8,0.3528,0.6371,0.5187,0.1934,0.4357,NA,65
2025,Villa Esperanza,104.6,0.642,0.6427,0.7056,0.1454,0.6397,NA,30
2025,Villa Norte,9.9,0.1845,0.6552,0.1947,0.3262,0.5885,NA,79
2025,Villa Sur,49.3,0.6402,0.873,0.4911,0.3477,0.5697,NA,48
2025,Vista Hermosa,174.7,0.7578,0.7321,0.4615,0.0523,0.4189,NA,43
